iters:23700, batch:0, loss:0.000566164 
iters:23750, batch:0, loss:0.000565776 
iters:23800, batch:0, loss:0.000565387 
iters:23850, batch:0, loss:0.000565 
iters:23900, batch:0, loss:0.000564614 
iters:23950, batch:0, loss:0.000564228 
iters:24000, batch:0, loss:0.000563841 
iters:24050, batch:0, loss:0.000563456 
iters:24100, batch:0, loss:0.000563071 
iters:24150, batch:0, loss:0.000562686 
iters:24200, batch:0, loss:0.000562302 
iters:24250, batch:0, loss:0.000561918 
iters:24300, batch:0, loss:0.000561535 
iters:24350, batch:0, loss:0.000561154 
iters:24400, batch:0, loss:0.000560772 
iters:24450, batch:0, loss:0.000560391 
iters:24500, batch:0, loss:0.00056001 
iters:24550, batch:0, loss:0.00055963 
iters:24600, batch:0, loss:0.00055925 
iters:24650, batch:0, loss:0.00055887 
iters:24700, batch:0, loss:0.000558491 
iters:24750, batch:0, loss:0.000558113 
iters:24800, batch:0, loss:0.000557735 
iters:24850, batch:0, loss:0.000557358 
iters:24900, batch:0, loss:0.000556982 
iters:24950, batch:0, loss:0.000556606 
iters:25000, batch:0, loss:0.00055623 
iters:25050, batch:0, loss:0.000555855 
iters:25100, batch:0, loss:0.000555481 
iters:25150, batch:0, loss:0.000555107 
iters:25200, batch:0, loss:0.000554733 
iters:25250, batch:0, loss:0.000554361 
iters:25300, batch:0, loss:0.000553989 
iters:25350, batch:0, loss:0.000553617 
iters:25400, batch:0, loss:0.000553247 
iters:25450, batch:0, loss:0.000552876 
iters:25500, batch:0, loss:0.000552505 
iters:25550, batch:0, loss:0.000552135 
iters:25600, batch:0, loss:0.000551766 
iters:25650, batch:0, loss:0.000551398 
iters:25700, batch:0, loss:0.00055103 
iters:25750, batch:0, loss:0.000550662 
iters:25800, batch:0, loss:0.000550295 
iters:25850, batch:0, loss:0.000549928 
iters:25900, batch:0, loss:0.000549562 
iters:25950, batch:0, loss:0.000549197 
iters:26000, batch:0, loss:0.000548833 
iters:26050, batch:0, loss:0.000548468 
iters:26100, batch:0, loss:0.000548104 
iters:26150, batch:0, loss:0.000547741 
iters:26200, batch:0, loss:0.000547379 
iters:26250, batch:0, loss:0.000547018 
iters:26300, batch:0, loss:0.000546656 
iters:26350, batch:0, loss:0.000546295 
iters:26400, batch:0, loss:0.000545936 
iters:26450, batch:0, loss:0.000545576 
iters:26500, batch:0, loss:0.000545217 
iters:26550, batch:0, loss:0.000544858 
iters:26600, batch:0, loss:0.0005445 
iters:26650, batch:0, loss:0.000544143 
iters:26700, batch:0, loss:0.000543786 
iters:26750, batch:0, loss:0.000543429 
iters:26800, batch:0, loss:0.000543073 
iters:26850, batch:0, loss:0.000542718 
iters:26900, batch:0, loss:0.000542363 
iters:26950, batch:0, loss:0.000542008 
iters:27000, batch:0, loss:0.000541653 
iters:27050, batch:0, loss:0.000541299 
iters:27100, batch:0, loss:0.000540946 
iters:27150, batch:0, loss:0.000540592 
iters:27200, batch:0, loss:0.00054024 
iters:27250, batch:0, loss:0.000539888 
iters:27300, batch:0, loss:0.000539536 
iters:27350, batch:0, loss:0.000539187 
iters:27400, batch:0, loss:0.000538836 
iters:27450, batch:0, loss:0.000538487 
iters:27500, batch:0, loss:0.000538138 
iters:27550, batch:0, loss:0.000537791 
iters:27600, batch:0, loss:0.000537442 
iters:27650, batch:0, loss:0.000537094 
iters:27700, batch:0, loss:0.000536747 
iters:27750, batch:0, loss:0.0005364 
iters:27800, batch:0, loss:0.000536053 
iters:27850, batch:0, loss:0.000535708 
iters:27900, batch:0, loss:0.000535363 
iters:27950, batch:0, loss:0.00053502 
iters:28000, batch:0, loss:0.000534677 
iters:28050, batch:0, loss:0.000534334 
iters:28100, batch:0, loss:0.000533993 
iters:28150, batch:0, loss:0.000533651 
iters:28200, batch:0, loss:0.00053331 
iters:28250, batch:0, loss:0.00053297 
iters:28300, batch:0, loss:0.00053263 
iters:28350, batch:0, loss:0.00053229 
iters:28400, batch:0, loss:0.000531951 
iters:28450, batch:0, loss:0.000531613 
iters:28500, batch:0, loss:0.000531275 
iters:28550, batch:0, loss:0.000530938 
iters:28600, batch:0, loss:0.000530601 
iters:28650, batch:0, loss:0.000530264 
iters:28700, batch:0, loss:0.000529928 
iters:28750, batch:0, loss:0.000529594 
iters:28800, batch:0, loss:0.000529258 
iters:28850, batch:0, loss:0.000528925 
iters:28900, batch:0, loss:0.000528591 
iters:28950, batch:0, loss:0.000528257 
iters:29000, batch:0, loss:0.000527924 
iters:29050, batch:0, loss:0.000527591 
iters:29100, batch:0, loss:0.00052726 
iters:29150, batch:0, loss:0.000526929 
iters:29200, batch:0, loss:0.000526598 
iters:29250, batch:0, loss:0.000526267 
iters:29300, batch:0, loss:0.000525937 
iters:29350, batch:0, loss:0.000525607 
iters:29400, batch:0, loss:0.000525279 
iters:29450, batch:0, loss:0.00052495 
iters:29500, batch:0, loss:0.000524622 
iters:29550, batch:0, loss:0.000524294 
iters:29600, batch:0, loss:0.000523967 
iters:29650, batch:0, loss:0.00052364 
iters:29700, batch:0, loss:0.000523313 
iters:29750, batch:0, loss:0.000522988 
iters:29800, batch:0, loss:0.000522662 
iters:29850, batch:0, loss:0.000522338 
iters:29900, batch:0, loss:0.000522013 
iters:29950, batch:0, loss:0.000521689 
iters:30000, batch:0, loss:0.000521366 
iters:30050, batch:0, loss:0.000521043 
iters:30100, batch:0, loss:0.00052072 
iters:30150, batch:0, loss:0.000520398 
iters:30200, batch:0, loss:0.000520076 
iters:30250, batch:0, loss:0.000519754 
iters:30300, batch:0, loss:0.000519433 
iters:30350, batch:0, loss:0.000519113 
iters:30400, batch:0, loss:0.000518793 
iters:30450, batch:0, loss:0.000518474 
iters:30500, batch:0, loss:0.000518154 
iters:30550, batch:0, loss:0.000517836 
iters:30600, batch:0, loss:0.000517518 
iters:30650, batch:0, loss:0.000517201 
iters:30700, batch:0, loss:0.000516884 
iters:30750, batch:0, loss:0.000516567 
iters:30800, batch:0, loss:0.00051625 
iters:30850, batch:0, loss:0.000515934 
iters:30900, batch:0, loss:0.00051562 
iters:30950, batch:0, loss:0.000515305 
iters:31000, batch:0, loss:0.000514991 
iters:31050, batch:0, loss:0.000514677 
iters:31100, batch:0, loss:0.000514364 
iters:31150, batch:0, loss:0.000514051 
iters:31200, batch:0, loss:0.000513738 
iters:31250, batch:0, loss:0.000513425 
iters:31300, batch:0, loss:0.000513113 
iters:31350, batch:0, loss:0.0005128 
iters:31400, batch:0, loss:0.00051249 
iters:31450, batch:0, loss:0.000512179 
iters:31500, batch:0, loss:0.000511869 
iters:31550, batch:0, loss:0.000511559 
iters:31600, batch:0, loss:0.000511249 
iters:31650, batch:0, loss:0.00051094 
iters:31700, batch:0, loss:0.00051063 
iters:31750, batch:0, loss:0.000510323 
iters:31800, batch:0, loss:0.000510014 
iters:31850, batch:0, loss:0.000509707 
iters:31900, batch:0, loss:0.0005094 
iters:31950, batch:0, loss:0.000509094 
iters:32000, batch:0, loss:0.000508787 
iters:32050, batch:0, loss:0.000508481 
iters:32100, batch:0, loss:0.000508177 
iters:32150, batch:0, loss:0.000507871 
iters:32200, batch:0, loss:0.000507567 
iters:32250, batch:0, loss:0.000507263 
iters:32300, batch:0, loss:0.000506959 
iters:32350, batch:0, loss:0.000506655 
iters:32400, batch:0, loss:0.000506353 
iters:32450, batch:0, loss:0.000506051 
iters:32500, batch:0, loss:0.000505749 
iters:32550, batch:0, loss:0.000505447 
iters:32600, batch:0, loss:0.000505146 
iters:32650, batch:0, loss:0.000504845 
iters:32700, batch:0, loss:0.000504546 
iters:32750, batch:0, loss:0.000504245 
iters:32800, batch:0, loss:0.000503946 
iters:32850, batch:0, loss:0.000503646 
iters:32900, batch:0, loss:0.000503347 
iters:32950, batch:0, loss:0.000503049 
iters:33000, batch:0, loss:0.00050275 
iters:33050, batch:0, loss:0.000502452 
iters:33100, batch:0, loss:0.000502154 
iters:33150, batch:0, loss:0.000501857 
iters:33200, batch:0, loss:0.00050156 
iters:33250, batch:0, loss:0.000501263 
iters:33300, batch:0, loss:0.000500967 
